config_id,model,workload,threshold,pair_id,decision,source,similarity,label,outcome
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0000,hit,semantic_cache,0.783295,1,TP
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0001,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0002,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0003,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0004,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0005,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0006,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0007,miss,llm,,1,FN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0008,hit,semantic_cache,0.728714,1,TP
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0009,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0010,miss,llm,,1,FN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0011,hit,semantic_cache,0.773158,1,TP
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0012,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0013,miss,llm,,0,TN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0014,hit,semantic_cache,0.742782,1,TP
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0015,hit,semantic_cache,0.720569,1,TP
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0016,miss,llm,,1,FN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0017,miss,llm,,1,FN
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0018,hit,semantic_cache,0.765738,1,TP
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0019,hit,semantic_cache,0.743230,1,TP
all-MiniLM-L6-v2|faq|0.70,all-MiniLM-L6-v2,faq,0.70,faq-0020,hit,semantic_cache,0.922464,1,TP
