pair_id,workload,source_corpus,source_pair_id,query_1,query_2,original_label,author_label,metadata
faq-0001,faq,synthetic-fixture,fixture-faq-001,How do I reset my fixture-account password?,What is the process to reset the password on a fixture-account?,1,1,"{""provenance"": ""synthetic-fixture""}"
faq-0002,faq,synthetic-fixture,fixture-faq-002,How do I contact fixture-support by phone?,What is the best pizza topping for a fixture-lunch?,0,0,"{""provenance"": ""synthetic-fixture""}"
faq-0003,faq,synthetic-fixture,fixture-faq-003,Where can I download the fixture-app for iOS?,How do I get the fixture-app on my iPhone?,1,1,"{""provenance"": ""synthetic-fixture""}"
faq-0004,faq,synthetic-fixture,fixture-faq-004,What are the fixture-service business hours?,How do I cancel my fixture-subscription?,0,0,"{""provenance"": ""synthetic-fixture""}"
faq-0005,faq,synthetic-fixture,fixture-faq-005,How do I reset my fixture-account password?,"I forgot my fixture-account password, how do I recover it?",1,0,"{""provenance"": ""synthetic-fixture""}"
code-0001,code,synthetic-fixture,fixture-code-001,How do I reverse a list in fixture-lang?,What is the syntax to reverse a list in fixture-lang?,1,1,"{""provenance"": ""synthetic-fixture""}"
code-0002,code,synthetic-fixture,fixture-code-002,How do I reverse a list in fixture-lang?,How do I sort a dictionary by value in fixture-lang?,0,0,"{""provenance"": ""synthetic-fixture""}"
code-0003,code,synthetic-fixture,fixture-code-003,Why does fixture-lang throw a NullPointerFixtureException here?,What causes a NullPointerFixtureException in this fixture-lang snippet?,1,1,"{""provenance"": ""synthetic-fixture""}"
code-0004,code,synthetic-fixture,fixture-code-004,How do I install the fixture-lang package manager?,What is the best fixture-lang linter?,0,1,"{""provenance"": ""synthetic-fixture""}"
code-0005,code,synthetic-fixture,fixture-code-005,How do I concatenate strings in fixture-lang?,What is the fixture-lang way to join strings together?,1,1,"{""provenance"": ""synthetic-fixture""}"
chat-0001,chat,synthetic-fixture,fixture-chat-001,I had a rough day at fixture-work today.,Work was really hard for me today at my fixture-job.,1,1,"{""provenance"": ""synthetic-fixture""}"
chat-0002,chat,synthetic-fixture,fixture-chat-002,I had a rough day at fixture-work today.,My favorite fixture-hobby is painting.,0,0,"{""provenance"": ""synthetic-fixture""}"
chat-0003,chat,synthetic-fixture,fixture-chat-003,"Do you have any pets, like a fixture-dog?","Do you own any animals, maybe a fixture-cat?",1,1,"{""provenance"": ""synthetic-fixture""}"
chat-0004,chat,synthetic-fixture,fixture-chat-004,What's your favorite fixture-movie genre?,I really enjoy fixture-hiking on weekends.,0,0,"{""provenance"": ""synthetic-fixture""}"
chat-0005,chat,synthetic-fixture,fixture-chat-005,I am feeling anxious about my fixture-exam tomorrow.,I am nervous about the fixture-test happening tomorrow.,1,1,"{""provenance"": ""synthetic-fixture""}"
