pair_id,workload,source_corpus,source_pair_id,original_label,author_label,metadata
faq-0000,faq,quora-qqp,270087,1,1,{}
faq-0001,faq,quora-qqp,383032,0,0,{}
faq-0002,faq,quora-qqp,254394,0,0,{}
faq-0003,faq,quora-qqp,41085,0,0,{}
faq-0004,faq,quora-qqp,251204,0,0,{}
faq-0005,faq,quora-qqp,63180,0,0,{}
faq-0006,faq,quora-qqp,171539,0,0,{}
faq-0007,faq,quora-qqp,149732,0,1,{}
faq-0008,faq,quora-qqp,267266,1,1,{}
faq-0009,faq,quora-qqp,358927,0,0,{}
faq-0010,faq,quora-qqp,126559,0,1,{}
faq-0011,faq,quora-qqp,51753,1,1,{}
faq-0012,faq,quora-qqp,58354,0,0,{}
faq-0013,faq,quora-qqp,240236,0,0,{}
faq-0014,faq,quora-qqp,329875,1,1,{}
faq-0015,faq,quora-qqp,89864,1,1,{}
faq-0016,faq,quora-qqp,327578,0,1,{}
faq-0017,faq,quora-qqp,202379,1,1,{}
faq-0018,faq,quora-qqp,186347,0,1,{}
faq-0019,faq,quora-qqp,204696,0,1,{}
faq-0020,faq,quora-qqp,60674,1,1,{}
faq-0021,faq,quora-qqp,60650,1,1,{}
faq-0022,faq,quora-qqp,170936,1,1,{}
faq-0023,faq,quora-qqp,233857,1,1,{}
faq-0024,faq,quora-qqp,316292,0,0,{}
faq-0025,faq,quora-qqp,83523,0,0,{}
faq-0026,faq,quora-qqp,196891,1,1,{}
faq-0027,faq,quora-qqp,401850,0,0,{}
faq-0028,faq,quora-qqp,328190,1,1,{}
faq-0029,faq,quora-qqp,84822,1,1,{}
faq-0030,faq,quora-qqp,8257,0,1,{}
faq-0031,faq,quora-qqp,242367,0,1,{}
faq-0032,faq,quora-qqp,75237,1,1,{}
faq-0033,faq,quora-qqp,159398,1,1,{}
faq-0034,faq,quora-qqp,266844,1,1,{}
faq-0035,faq,quora-qqp,33189,1,1,{}
faq-0036,faq,quora-qqp,376449,1,0,{}
faq-0037,faq,quora-qqp,298028,0,1,{}
faq-0038,faq,quora-qqp,239874,1,1,{}
faq-0039,faq,quora-qqp,251930,1,1,{}
faq-0040,faq,quora-qqp,152686,0,0,{}
faq-0041,faq,quora-qqp,258396,0,0,{}
faq-0042,faq,quora-qqp,227488,0,0,{}
faq-0043,faq,quora-qqp,294233,0,1,{}
faq-0044,faq,quora-qqp,236545,1,1,{}
faq-0045,faq,quora-qqp,188733,1,1,{}
faq-0046,faq,quora-qqp,167458,1,1,{}
faq-0047,faq,quora-qqp,340426,1,1,{}
faq-0048,faq,quora-qqp,58234,0,0,{}
faq-0049,faq,quora-qqp,179554,0,0,{}
faq-0050,faq,quora-qqp,74694,0,0,{}
faq-0051,faq,quora-qqp,273570,0,0,{}
faq-0052,faq,quora-qqp,126610,0,0,{}
faq-0053,faq,quora-qqp,305940,1,1,{}
faq-0054,faq,quora-qqp,264485,0,1,{}
faq-0055,faq,quora-qqp,12910,1,1,{}
faq-0056,faq,quora-qqp,305874,1,1,{}
faq-0057,faq,quora-qqp,169468,1,1,{}
faq-0058,faq,quora-qqp,48653,0,0,{}
faq-0059,faq,quora-qqp,161892,0,0,{}
faq-0060,faq,quora-qqp,35130,1,1,{}
faq-0061,faq,quora-qqp,193354,0,0,{}
faq-0062,faq,quora-qqp,306558,0,0,{}
faq-0063,faq,quora-qqp,102019,1,0,{}
faq-0064,faq,quora-qqp,250608,0,0,{}
faq-0065,faq,quora-qqp,19377,0,1,{}
faq-0066,faq,quora-qqp,221977,1,0,{}
faq-0067,faq,quora-qqp,301260,0,1,{}
faq-0068,faq,quora-qqp,1240,0,0,{}
faq-0069,faq,quora-qqp,117009,1,0,{}
faq-0070,faq,quora-qqp,306364,0,1,{}
faq-0071,faq,quora-qqp,172634,1,1,{}
faq-0072,faq,quora-qqp,312950,0,0,{}
faq-0073,faq,quora-qqp,307917,0,0,{}
faq-0074,faq,quora-qqp,102690,0,1,{}
faq-0075,faq,quora-qqp,193069,0,0,{}
faq-0076,faq,quora-qqp,258871,0,0,{}
faq-0077,faq,quora-qqp,59129,1,1,{}
faq-0078,faq,quora-qqp,187916,1,1,{}
faq-0079,faq,quora-qqp,282190,0,0,{}
faq-0080,faq,quora-qqp,74425,1,0,{}
faq-0081,faq,quora-qqp,184312,0,0,{}
faq-0082,faq,quora-qqp,180461,0,1,{}
faq-0083,faq,quora-qqp,286345,1,1,{}
faq-0084,faq,quora-qqp,373596,0,1,{}
faq-0085,faq,quora-qqp,295381,1,1,{}
faq-0086,faq,quora-qqp,259615,1,1,{}
faq-0087,faq,quora-qqp,208510,1,1,{}
faq-0088,faq,quora-qqp,343873,0,0,{}
faq-0089,faq,quora-qqp,330098,1,1,{}
faq-0090,faq,quora-qqp,282325,0,0,{}
faq-0091,faq,quora-qqp,188681,1,1,{}
faq-0092,faq,quora-qqp,278392,0,0,{}
faq-0093,faq,quora-qqp,10418,1,1,{}
faq-0094,faq,quora-qqp,92195,1,1,{}
faq-0095,faq,quora-qqp,213353,1,1,{}
faq-0096,faq,quora-qqp,277396,0,0,{}
faq-0097,faq,quora-qqp,79440,1,1,{}
faq-0098,faq,quora-qqp,399319,0,0,{}
faq-0099,faq,quora-qqp,132101,0,1,{}
faq-0100,faq,quora-qqp,37149,0,0,{}
faq-0101,faq,quora-qqp,239197,1,1,{}
faq-0102,faq,quora-qqp,217096,0,0,{}
faq-0103,faq,quora-qqp,316062,1,1,{}
faq-0104,faq,quora-qqp,163995,1,0,{}
faq-0105,faq,quora-qqp,59491,0,0,{}
faq-0106,faq,quora-qqp,145502,0,1,{}
faq-0107,faq,quora-qqp,241578,1,1,{}
faq-0108,faq,quora-qqp,188694,0,1,{}
faq-0109,faq,quora-qqp,239361,1,1,{}
faq-0110,faq,quora-qqp,386243,1,1,{}
faq-0111,faq,quora-qqp,249859,0,0,{}
faq-0112,faq,quora-qqp,247601,1,1,{}
faq-0113,faq,quora-qqp,255354,1,1,{}
faq-0114,faq,quora-qqp,179210,1,0,{}
faq-0115,faq,quora-qqp,120286,0,1,{}
faq-0116,faq,quora-qqp,196894,1,0,{}
faq-0117,faq,quora-qqp,234882,1,1,{}
faq-0118,faq,quora-qqp,275255,0,0,{}
faq-0119,faq,quora-qqp,145214,1,1,{}
faq-0120,faq,quora-qqp,141894,1,1,{}
faq-0121,faq,quora-qqp,149927,1,1,{}
faq-0122,faq,quora-qqp,402046,0,1,{}
faq-0123,faq,quora-qqp,35366,1,1,{}
faq-0124,faq,quora-qqp,286551,1,1,{}
faq-0125,faq,quora-qqp,155048,1,0,{}
faq-0126,faq,quora-qqp,302414,0,0,{}
faq-0127,faq,quora-qqp,341079,1,0,{}
faq-0128,faq,quora-qqp,98545,1,1,{}
faq-0129,faq,quora-qqp,61843,1,1,{}
faq-0130,faq,quora-qqp,144007,1,1,{}
faq-0131,faq,quora-qqp,351109,0,1,{}
faq-0132,faq,quora-qqp,276588,1,1,{}
faq-0133,faq,quora-qqp,38916,1,1,{}
faq-0134,faq,quora-qqp,148215,0,0,{}
faq-0135,faq,quora-qqp,373284,0,0,{}
faq-0136,faq,quora-qqp,345217,0,0,{}
faq-0137,faq,quora-qqp,24457,1,1,{}
faq-0138,faq,quora-qqp,341488,1,1,{}
faq-0139,faq,quora-qqp,344716,0,0,{}
faq-0140,faq,quora-qqp,62393,0,0,{}
faq-0141,faq,quora-qqp,252615,0,0,{}
faq-0142,faq,quora-qqp,125272,0,0,{}
faq-0143,faq,quora-qqp,191183,0,1,{}
faq-0144,faq,quora-qqp,255313,1,0,{}
faq-0145,faq,quora-qqp,352746,0,0,{}
faq-0146,faq,quora-qqp,190399,0,1,{}
faq-0147,faq,quora-qqp,352088,0,1,{}
faq-0148,faq,quora-qqp,16251,0,0,{}
faq-0149,faq,quora-qqp,164990,1,1,{}
faq-0150,faq,quora-qqp,129939,1,1,{}
faq-0151,faq,quora-qqp,89052,1,1,{}
faq-0152,faq,quora-qqp,175609,0,1,{}
faq-0153,faq,quora-qqp,203073,1,1,{}
faq-0154,faq,quora-qqp,336810,0,0,{}
faq-0155,faq,quora-qqp,268360,0,0,{}
faq-0156,faq,quora-qqp,302446,0,0,{}
faq-0157,faq,quora-qqp,190788,1,1,{}
faq-0158,faq,quora-qqp,16899,0,1,{}
faq-0159,faq,quora-qqp,232919,1,1,{}
faq-0160,faq,quora-qqp,182668,0,0,{}
faq-0161,faq,quora-qqp,268290,1,1,{}
faq-0162,faq,quora-qqp,347639,0,1,{}
faq-0163,faq,quora-qqp,256492,1,1,{}
faq-0164,faq,quora-qqp,120479,1,0,{}
faq-0165,faq,quora-qqp,120253,1,1,{}
faq-0166,faq,quora-qqp,164782,1,1,{}
faq-0167,faq,quora-qqp,14024,1,0,{}
faq-0168,faq,quora-qqp,318542,1,1,{}
faq-0169,faq,quora-qqp,66074,0,0,{}
faq-0170,faq,quora-qqp,136772,1,0,{}
faq-0171,faq,quora-qqp,73572,0,0,{}
faq-0172,faq,quora-qqp,367992,1,0,{}
faq-0173,faq,quora-qqp,314354,0,1,{}
faq-0174,faq,quora-qqp,268051,1,1,{}
faq-0175,faq,quora-qqp,84523,1,1,{}
faq-0176,faq,quora-qqp,276527,1,0,{}
faq-0177,faq,quora-qqp,282103,0,0,{}
faq-0178,faq,quora-qqp,48669,1,0,{}
faq-0179,faq,quora-qqp,368144,1,1,{}
faq-0180,faq,quora-qqp,122059,0,0,{}
faq-0181,faq,quora-qqp,3993,1,1,{}
faq-0182,faq,quora-qqp,204725,0,1,{}
faq-0183,faq,quora-qqp,227032,0,0,{}
faq-0184,faq,quora-qqp,147247,0,0,{}
faq-0185,faq,quora-qqp,122698,0,0,{}
faq-0186,faq,quora-qqp,299949,1,1,{}
faq-0187,faq,quora-qqp,170540,1,1,{}
faq-0188,faq,quora-qqp,119009,1,0,{}
faq-0189,faq,quora-qqp,395329,1,1,{}
faq-0190,faq,quora-qqp,201344,1,1,{}
faq-0191,faq,quora-qqp,107859,0,1,{}
faq-0192,faq,quora-qqp,276737,1,1,{}
faq-0193,faq,quora-qqp,238740,1,1,{}
faq-0194,faq,quora-qqp,269587,1,1,{}
faq-0195,faq,quora-qqp,200196,1,1,{}
faq-0196,faq,quora-qqp,259031,0,0,{}
faq-0197,faq,quora-qqp,111675,0,0,{}
faq-0198,faq,quora-qqp,38686,0,0,{}
faq-0199,faq,quora-qqp,96802,0,0,{}
faq-0200,faq,quora-qqp,283997,1,1,{}
faq-0201,faq,quora-qqp,55296,1,1,{}
faq-0202,faq,quora-qqp,367613,0,0,{}
faq-0203,faq,quora-qqp,150583,1,1,{}
faq-0204,faq,quora-qqp,129563,0,0,{}
faq-0205,faq,quora-qqp,3936,0,0,{}
faq-0206,faq,quora-qqp,203535,1,0,{}
faq-0207,faq,quora-qqp,127585,1,0,{}
faq-0208,faq,quora-qqp,189327,0,0,{}
faq-0209,faq,quora-qqp,72489,0,1,{}
faq-0210,faq,quora-qqp,316108,1,1,{}
faq-0211,faq,quora-qqp,382437,0,1,{}
faq-0212,faq,quora-qqp,233075,0,0,{}
faq-0213,faq,quora-qqp,266351,0,0,{}
faq-0214,faq,quora-qqp,368430,1,1,{}
faq-0215,faq,quora-qqp,162083,0,0,{}
faq-0216,faq,quora-qqp,135500,1,1,{}
faq-0217,faq,quora-qqp,100366,1,0,{}
faq-0218,faq,quora-qqp,185893,0,1,{}
faq-0219,faq,quora-qqp,199647,0,1,{}
faq-0220,faq,quora-qqp,280625,0,1,{}
faq-0221,faq,quora-qqp,17198,0,0,{}
faq-0222,faq,quora-qqp,90150,0,0,{}
faq-0223,faq,quora-qqp,81399,0,0,{}
faq-0224,faq,quora-qqp,374646,0,0,{}
faq-0225,faq,quora-qqp,24530,1,0,{}
faq-0226,faq,quora-qqp,37390,0,0,{}
faq-0227,faq,quora-qqp,80896,1,0,{}
faq-0228,faq,quora-qqp,57612,0,0,{}
faq-0229,faq,quora-qqp,342444,1,1,{}
faq-0230,faq,quora-qqp,393278,1,1,{}
faq-0231,faq,quora-qqp,271553,1,1,{}
faq-0232,faq,quora-qqp,95008,1,1,{}
faq-0233,faq,quora-qqp,325780,1,1,{}
faq-0234,faq,quora-qqp,135416,0,0,{}
faq-0235,faq,quora-qqp,94921,1,1,{}
faq-0236,faq,quora-qqp,85964,0,1,{}
faq-0237,faq,quora-qqp,392883,1,1,{}
faq-0238,faq,quora-qqp,347333,0,0,{}
faq-0239,faq,quora-qqp,158731,1,1,{}
faq-0240,faq,quora-qqp,302926,0,0,{}
faq-0241,faq,quora-qqp,56097,1,1,{}
faq-0242,faq,quora-qqp,247704,1,1,{}
faq-0243,faq,quora-qqp,337623,1,1,{}
faq-0244,faq,quora-qqp,136965,0,0,{}
faq-0245,faq,quora-qqp,105479,0,0,{}
faq-0246,faq,quora-qqp,112533,1,1,{}
faq-0247,faq,quora-qqp,125923,0,0,{}
faq-0248,faq,quora-qqp,107321,1,1,{}
faq-0249,faq,quora-qqp,274788,1,1,{}
faq-0250,faq,quora-qqp,22609,1,1,{}
faq-0251,faq,quora-qqp,26185,0,0,{}
faq-0252,faq,quora-qqp,269462,0,0,{}
faq-0253,faq,quora-qqp,136380,0,0,{}
faq-0254,faq,quora-qqp,118941,0,0,{}
faq-0255,faq,quora-qqp,252832,0,0,{}
faq-0256,faq,quora-qqp,90198,0,0,{}
faq-0257,faq,quora-qqp,77796,1,0,{}
faq-0258,faq,quora-qqp,320775,0,0,{}
faq-0259,faq,quora-qqp,121966,0,1,{}
faq-0260,faq,quora-qqp,170694,1,1,{}
faq-0261,faq,quora-qqp,180261,0,1,{}
faq-0262,faq,quora-qqp,157529,1,1,{}
faq-0263,faq,quora-qqp,289634,1,0,{}
faq-0264,faq,quora-qqp,29991,0,1,{}
faq-0265,faq,quora-qqp,224182,0,0,{}
faq-0266,faq,quora-qqp,56227,0,0,{}
faq-0267,faq,quora-qqp,366398,1,1,{}
faq-0268,faq,quora-qqp,389359,1,0,{}
faq-0269,faq,quora-qqp,335316,1,1,{}
faq-0270,faq,quora-qqp,365723,0,0,{}
faq-0271,faq,quora-qqp,269489,1,1,{}
faq-0272,faq,quora-qqp,341354,1,1,{}
faq-0273,faq,quora-qqp,161244,1,1,{}
faq-0274,faq,quora-qqp,80667,1,1,{}
faq-0275,faq,quora-qqp,79015,1,1,{}
faq-0276,faq,quora-qqp,171470,0,0,{}
faq-0277,faq,quora-qqp,9859,0,0,{}
faq-0278,faq,quora-qqp,354762,1,1,{}
faq-0279,faq,quora-qqp,128299,0,0,{}
faq-0280,faq,quora-qqp,141089,0,0,{}
faq-0281,faq,quora-qqp,59191,0,0,{}
faq-0282,faq,quora-qqp,201156,1,1,{}
faq-0283,faq,quora-qqp,53420,0,0,{}
faq-0284,faq,quora-qqp,384987,0,0,{}
faq-0285,faq,quora-qqp,313811,1,1,{}
faq-0286,faq,quora-qqp,136757,0,0,{}
faq-0287,faq,quora-qqp,198515,1,1,{}
faq-0288,faq,quora-qqp,344485,1,1,{}
faq-0289,faq,quora-qqp,64470,0,0,{}
faq-0290,faq,quora-qqp,372217,1,0,{}
faq-0291,faq,quora-qqp,300452,1,1,{}
faq-0292,faq,quora-qqp,342512,0,0,{}
faq-0293,faq,quora-qqp,135000,0,0,{}
faq-0294,faq,quora-qqp,292932,0,0,{}
faq-0295,faq,quora-qqp,330700,1,0,{}
faq-0296,faq,quora-qqp,277522,0,1,{}
faq-0297,faq,quora-qqp,226125,1,1,{}
faq-0298,faq,quora-qqp,320725,0,1,{}
faq-0299,faq,quora-qqp,116025,1,0,{}
code-0000,code,sodd,SODD_train:105529,0,0,{}
code-0001,code,sodd,SODD_train:350768,1,0,{}
code-0002,code,sodd,SODD_train:16561,0,0,{}
code-0003,code,sodd,SODD_train:237703,0,0,{}
code-0004,code,sodd,SODD_train:1530387,0,0,{}
code-0005,code,sodd,SODD_train:39234,0,0,{}
code-0006,code,sodd,SODD_train:1098192,0,0,{}
code-0007,code,sodd,SODD_train:923433,0,0,{}
code-0008,code,sodd,SODD_train:1754844,1,1,{}
code-0009,code,sodd,SODD_train:995849,0,0,{}
code-0010,code,sodd,SODD_train:430849,0,0,{}
code-0011,code,sodd,SODD_train:457921,1,0,{}
code-0012,code,sodd,SODD_train:57496,0,0,{}
code-0013,code,sodd,SODD_train:703243,0,0,{}
code-0014,code,sodd,SODD_train:1656673,1,1,{}
code-0015,code,sodd,SODD_train:729415,1,0,{}
code-0016,code,sodd,SODD_train:1420291,1,1,{}
code-0017,code,sodd,SODD_train:1791065,1,1,{}
code-0018,code,sodd,SODD_train:1337219,0,0,{}
code-0019,code,sodd,SODD_train:495372,0,0,{}
code-0020,code,sodd,SODD_train:1371025,1,0,{}
code-0021,code,sodd,SODD_train:1607125,1,1,{}
code-0022,code,sodd,SODD_train:804318,0,0,{}
code-0023,code,sodd,SODD_train:818104,1,0,{}
code-0024,code,sodd,SODD_train:120389,0,0,{}
code-0025,code,sodd,SODD_train:1747843,0,0,{}
code-0026,code,sodd,SODD_train:432320,0,0,{}
code-0027,code,sodd,SODD_train:1687954,0,0,{}
code-0028,code,sodd,SODD_dev:114775,1,1,{}
code-0029,code,sodd,SODD_train:1210563,1,0,{}
code-0030,code,sodd,SODD_train:1785277,0,0,{}
code-0031,code,sodd,SODD_train:631411,0,0,{}
code-0032,code,sodd,SODD_train:1934444,1,1,{}
code-0033,code,sodd,SODD_train:315159,1,0,{}
code-0034,code,sodd,SODD_train:1411893,1,0,{}
code-0035,code,sodd,SODD_train:730516,1,1,{}
code-0036,code,sodd,SODD_train:1502731,0,0,{}
code-0037,code,sodd,SODD_train:1244885,0,0,{}
code-0038,code,sodd,SODD_train:223957,1,0,{}
code-0039,code,sodd,SODD_train:108200,0,0,{}
code-0040,code,sodd,SODD_train:724214,0,0,{}
code-0041,code,sodd,SODD_train:172056,1,0,{}
code-0042,code,sodd,SODD_train:1206821,0,0,{}
code-0043,code,sodd,SODD_train:1383000,0,0,{}
code-0044,code,sodd,SODD_train:359929,0,0,{}
code-0045,code,sodd,SODD_train:1374782,1,0,{}
